step,traffic_pattern,injection_rate,network_load,throughput,avg_latency,network_latency,unstable,congestion_score,hotspot_detected
171,shuffle,0.006846,0.1295,0.127,56.64,55.12,0,0.24307985570917265,0
172,shuffle,0.007212,0.134172,0.130562,56.16,54.27,0,0.24584447050723401,0
173,shuffle,0.006942,0.131047,0.128062,55.58,54.05,0,0.24351060472145117,0
174,shuffle,0.006833,0.1295,0.127,56.64,55.12,0,0.24307985570917265,0
175,shuffle,0.006938,0.130594,0.126656,55.9,54.33,0,0.25113749519903533,0
176,shuffle,0.007099,0.132781,0.129047,60.36,58.36,0,0.25435581078443426,0
177,shuffle,0.010043,0.188016,0.180953,81.17,76.33,0,0.2534340740319776,0
178,shuffle,0.010137,0.191359,0.184281,75.35,70.42,0,0.24159944588155077,0
179,shuffle,0.010171,0.191969,0.184375,74.52,69.86,0,0.2423841840869351,0
180,shuffle,0.009764,0.18275,0.175125,74.01,70.61,0,0.250538550974001,0
181,shuffle,0.00999,0.189422,0.182688,74.09,70.07,0,0.23974673660139378,0
182,shuffle,0.010258,0.193422,0.186359,76.96,71.22,0,0.24203763927191257,0
183,shuffle,0.0119,0.226594,0.215078,94.19,87.48,0,0.2576168522099351,0
184,shuffle,0.011767,0.225516,0.212797,89.57,84.28,0,0.25698241129410737,0
185,shuffle,0.012232,0.234656,0.218,101.04,96.66,0,0.282257283573252,0
186,shuffle,0.012091,0.233313,0.2225,91.51,86.18,0,0.24415940080516252,0
187,shuffle,0.01215,0.233516,0.220969,92.11,86.1,0,0.25231299155394715,0
188,shuffle,0.011878,0.226703,0.215031,94.53,85.77,0,0.25871161280127186,0
189,shuffle,0.014814,0.286219,0.261141,97.68,90.12,1,0.3575157942286341,1
190,shuffle,0.014986,0.287078,0.256078,115.89,105.82,1,0.4056511215429879,1
191,shuffle,0.01503,0.284281,0.253953,123.11,111.51,1,0.417127212839003,1
192,shuffle,0.015276,0.288406,0.258109,124.54,112.01,1,0.4147345494944664,1
193,shuffle,0.01489,0.282266,0.258734,112.07,101.91,1,0.3776159295676833,1
194,shuffle,0.015078,0.284484,0.251766,119.27,112.39,1,0.4198543803031348,1
195,shuffle,0.018124,0.325016,0.275141,149.96,128.89,1,0.4797117835988789,1
196,shuffle,0.01829,0.333297,0.284125,140.27,124.4,1,0.4532749164472858,1
197,shuffle,0.017901,0.327156,0.287094,133.08,115.38,1,0.419530790772659,1
198,shuffle,0.018219,0.332875,0.284109,140.28,124.35,1,0.4524543890719226,1
199,shuffle,0.018208,0.330422,0.284797,140.24,123.99,1,0.4449493725562297,1
200,shuffle,0.018158,0.329313,0.285344,141.0,122.81,1,0.44192687226322325,1
201,tornado,0.001145,0.018562,0.018125,57.93,57.93,0,0.3326586813086257,0
202,tornado,0.001014,0.016375,0.015938,57.73,57.73,0,0.3366339472254898,0
203,tornado,0.001271,0.020563,0.02,57.56,57.56,0,0.33379753723153566,0
204,tornado,0.001192,0.0195,0.019062,57.38,57.38,0,0.3302143292103168,0
205,tornado,0.001251,0.02025,0.019688,57.57,57.57,0,0.3343612368919963,0
206,tornado,0.001208,0.020125,0.019688,57.57,57.57,0,0.3294027384048356,0
207,tornado,0.001916,0.034,0.033438,59.36,59.12,0,0.31720905627040313,0
208,tornado,0.00191,0.034,0.033438,59.36,59.12,0,0.31720905627040313,0
209,tornado,0.00177,0.031813,0.03125,57.4,57.12,0,0.3169001641209273,0
210,tornado,0.002044,0.0365,0.035703,58.91,58.56,0,0.31913527079656956,0
211,tornado,0.002266,0.041813,0.041016,59.97,59.53,0,0.31435014147759816,0
212,tornado,0.00171,0.0315,0.030937,57.32,57.12,0,0.3171658215663472,0
213,tornado,0.003172,0.058094,0.057141,60.92,60.38,0,0.3011400826741537,0
214,tornado,0.003295,0.060594,0.059562,61.51,60.72,0,0.3006749082523023,0
215,tornado,0.002908,0.054656,0.053703,61.4,61.11,0,0.3053692711903498,0
216,tornado,0.00327,0.059344,0.058391,61.77,61.09,0,0.30117392797006254,0
217,tornado,0.00272,0.052125,0.051203,62.24,61.89,0,0.30877678850126816,0
218,tornado,0.002923,0.054969,0.054016,61.45,61.17,0,0.30512134802458407,0
219,tornado,0.003995,0.072078,0.070156,64.46,63.6,0,0.30485435027092345,0
220,tornado,0.00376,0.066219,0.064547,62.54,62.07,0,0.3051264758192598,0
221,tornado,0.004041,0.072703,0.070594,63.26,62.44,0,0.30462764063435366,0
222,tornado,0.004155,0.074578,0.072484,66.07,64.85,0,0.3066465728163948,0
223,tornado,0.004207,0.076141,0.074359,63.69,63.02,0,0.2977654866925617,0
224,tornado,0.004258,0.078016,0.075984,66.39,65.25,0,0.3027566644343173,0
225,tornado,0.005081,0.095031,0.092516,68.04,67.12,0,0.29281851594251057,0
226,tornado,0.005027,0.093469,0.090891,69.95,68.69,0,0.2978750850996152,0
227,tornado,0.004962,0.092219,0.089484,69.58,68.5,0,0.30010850189142546,0
228,tornado,0.005184,0.097516,0.09475,69.27,67.44,0,0.29450967233612435,0
229,tornado,0.005162,0.096906,0.094391,69.51,68.45,0,0.29316915714723296,0
230,tornado,0.005046,0.094094,0.091578,71.14,70.13,0,0.29844978066180977,0
231,tornado,0.006764,0.128219,0.12325,73.14,71.19,0,0.2868651563795256,0
232,tornado,0.00711,0.13325,0.128375,72.65,71.59,0,0.2803846832020682,0
233,tornado,0.007254,0.134969,0.129047,79.38,76.56,0,0.2960160766607653,0
234,tornado,0.00713,0.13325,0.128375,72.65,71.59,0,0.2803846832020682,0
235,tornado,0.007183,0.134156,0.128859,79.09,76.58,0,0.2921160869991642,0
236,tornado,0.006897,0.130047,0.124391,75.78,73.74,0,0.29386100188545694,0
237,tornado,0.009934,0.187422,0.177922,100.66,95.89,0,0.2959833567062439,0
238,tornado,0.010232,0.192844,0.182969,101.14,97.53,0,0.2932354782826003,0
239,tornado,0.01015,0.191359,0.182344,94.13,91.26,0,0.27976822662834044,0
240,tornado,0.010284,0.194578,0.184328,99.4,96.21,0,0.290765798316387,0
241,tornado,0.010005,0.189688,0.180516,96.63,92.65,0,0.28597628825805405,0
242,tornado,0.009767,0.183094,0.174578,88.36,85.3,0,0.2765631248750976,0
243,tornado,0.011745,0.224531,0.210734,114.71,108.46,0,0.3006863855084764,0
244,tornado,0.011701,0.224062,0.210234,113.58,107.5,0,0.2995854822902346,0
245,tornado,0.012065,0.232375,0.219203,113.05,107.75,0,0.2877245605756363,0
246,tornado,0.011975,0.230031,0.215547,113.9,108.13,0,0.2969907327063707,0
247,tornado,0.012133,0.234234,0.219578,115.95,109.78,0,0.29664738091326726,0
248,tornado,0.012293,0.236187,0.220469,124.72,117.2,0,0.31247026196866645,0
249,tornado,0.014709,0.280469,0.251109,143.72,132.34,1,0.44880447291434167,1
250,tornado,0.014758,0.281187,0.248234,156.63,143.5,0,0.38079480889435025,1
251,tornado,0.015245,0.288141,0.251766,170.24,155.34,1,0.5060486448213611,1
252,tornado,0.015021,0.284172,0.254734,158.35,145.98,1,0.4672021146853854,1
253,tornado,0.015246,0.288141,0.251766,170.24,155.34,1,0.5060486448213611,1
